Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  103    0 0xfffffe0007120e10 0xad6      0xad6      com.apple.driver.AppleA7IOP-ASCWrap-v6 (1.0.2) 72C813D6-8683-3C53-8058-B6FC97AA16CF <41 40 28 7 6 5 3>
  104    0 0xfffffe00075ff570 0x88a      0x88a      com.apple.driver.AppleSecureRepair (1.0.0) D9D2CA25-25DC-32A9-ABC9-ED709EBD00A9 <91 8 6 5>
  105   13 0xfffffe0007986470 0x4000     0x4000     com.apple.iokit.IOPortFamily (1.0) A3913033-A7ED-3817-A501-BDAA1E5DFD9D <9 8 7 6 5 3>
  106   11 0xfffffe00079a05f0 0x63a44    0x63a44    com.apple.iokit.IOThunderboltFamily (9.3.3) F3D35784-7A90-3718-98F7-115436E62CCF <105 63 59 7 6 5 3>
  107    0 0xfffffe00076214a0 0x6d68     0x6d68     com.apple.driver.AppleT6040PCIeC (1) C1F16680-33EE-321C-A1B8-5C43EEA6623F <106 86 85 67 42 28 26 9 8 7 6 5 3>
  108    0 0xfffffe000769b8a0 0x3a848    0x3a848    com.apple.driver.AppleThunderboltNHI (7.2.81) 6A1DFEE3-454D-31D8-8747-1AE0C3DD2408 <106 105 91 67 59 8 7 6 5 3>
  109    2 0xfffffe0007581ed0 0x5562     0x5562     com.apple.driver.AppleOLYHAL (1) B3077374-36A0-3924-BFFA-1B640CCD5764 <87 86 67 58 57 28 19 9 8 7 6 5 3>
  110    2 0xfffffe0007939530 0x25a1     0x25a1     com.apple.driver.IOImageLoader (1.0.0) A9D31A4F-BEC0-32DD-A3A8-2DCBDBDC0703 <87 10 9 8 7 6 5 3>
  111    2 0xfffffe00077b4720 0xa8755    0xa8755    com.apple.iokit.IO80211Family (1200.13.1) B647CA78-45D5-37CC-8CFB-F2BC5CE005DF <87 50 48 20 19 10 9 8 7 6 5 3>
  112    1 0xfffffe00072e8a40 0x75a3a    0x75a3a    com.apple.driver.AppleBCMWLANCore (1.0.0) 2FED5D3B-72E2-377B-AAB7-510E2C5BF3BA <111 110 109 87 79 67 58 57 50 49 48 28 20 19 10 9 8 7 6 5 3>
  113    3 0xfffffe0007371e90 0x60d      0x60d      com.apple.driver.AppleBluetoothDebugService (1) 7E319C8B-F034-33E7-9FED-D1B28BD9A2B9 <7 6 5 3>
  114    0 0xfffffe00072d1320 0x17716    0x17716    com.apple.driver.AppleBCMWLANBusInterfacePCIe (1) F365A7D2-BE6A-3CC1-8366-FD8A377B3831 <113 112 111 110 109 87 86 67 58 50 48 28 19 9 8 7 6 5 3>
  115    0 0xfffffe00073724a0 0x2c25     0x2c25     com.apple.driver.AppleBluetoothModule (1) 137EE6DB-E3B6-3EE0-A0B9-CB6E7C0B2391 <88 87 28 9 8 7 6 5 3>
  116    4 0xfffffe00076ed500 0x2fc0     0x2fc0     com.apple.driver.AppleTypeCPhy (1) 5D8CF69C-7E99-3CF3-8D66-44B8ED7850FD <105 64 59 28 8 7 6 5 3>
  117    4 0xfffffe00078f5fa0 0x11de0    0x11de0    com.apple.iokit.IODisplayPortFamily (1.0.0) 0EEC9B50-FFBD-3273-B10D-334FE2FF3A7B <105 59 35 34 33 9 8 7 6 5 3>
  118    0 0xfffffe00073be2e0 0xa9a5     0xa9a5     com.apple.driver.AppleDisplayCrossbar (1.0.0) BB0CF05C-7BC9-3F68-A84B-8875D5234097 <117 116 106 105 59 35 28 6 5>
  119    0 0xfffffe0007631d30 0x7b68     0x7b68     com.apple.driver.AppleT6041MCC (1) 2409667C-314C-3FD4-8726-A724B26F51FE <89 28 26 9 8 7 6 5 3>
  120    0 0xfffffe00074abbf0 0xfe0      0xfe0      com.apple.driver.AppleInterruptControllerV3 (1.0.0d1) 8C96EC67-3206-3716-89CB-27B9263EE1A3 <28 9 8 7 6 5 3>
  121    0 0xfffffe0007143960 0x1ba2     0x1ba2     com.apple.driver.AppleARMWatchdogTimer (1) 9E778746-3F35-3AA2-BC0E-276C8C16738A <28 9 8 7 6 5 3>
  122    0 0xfffffe00075c9d80 0x83f      0x83f      com.apple.driver.AppleS8000DWI (1.0.0d1) 0DA93333-D329-3C94-BD7F-F58C826C74F2 <28 9 7 6 5 3>
  123    5 0xfffffe00074a9000 0x2bea     0x2bea     com.apple.driver.AppleInputDeviceSupport (8440.2) D919BA60-5643-3770-81B6-E0D42430C395 <93 40 19 8 7 6 5 3>
  124    3 0xfffffe00075f4720 0x5d70     0x5d70     com.apple.driver.AppleSPU (1) EC5222F4-63EB-34C6-A10C-6A81C604515F <93 62 41 40 38 28 26 19 8 7 6 5 3>
  125    1 0xfffffe000746a980 0xbd08     0xbd08     com.apple.driver.AppleHIDTransport (8440.2) C5721F55-E9DA-3DFB-8AFF-897C907DA87F <124 123 63 38 28 8 7 6 5 3>
  126    0 0xfffffe0007476690 0x35b0     0x35b0     com.apple.driver.AppleHIDTransportFIFO (8440.2) 1D951672-B72D-3F3B-B248-11CDC4D16EA9 <125 123 102 62 40 28 8 7 6 5 3>
  127    0 0xfffffe00075c8360 0x1a1f     0x1a1f     com.apple.driver.AppleS8000AES (1) F733B935-7EC7-3A42-A9C9-3B4E6C6ECC04 <28 16 9 8 7 6 5 3>
  128    0 0xfffffe00075cb920 0x3eca     0x3eca     com.apple.driver.AppleSDXC (3.5.3) 5CE25531-FF13-3E8F-AEFC-87D8E0EBE8FC <86 67 59 28 26 22 7 6 5 3>
  129    3 0xfffffe00074c2fb0 0x80fa8    0x80fa8    com.apple.driver.AppleM2ScalerCSCDriver (265.0.0) 49E1783D-7581-3AC9-AC3C-E021E3609FEF <42 36 28 19 9 8 7 6 5 3>
  130    3 0xfffffe0007943790 0x9364     0x9364     com.apple.iokit.IOMobileGraphicsFamily (343.0.0) 37C5CC00-D013-39AD-9DF1-1AECCC2D0319 <129 36 35 28 20 9 8 7 6 5 3>
  131    5 0xfffffe00073f8090 0x4b28     0x4b28     com.apple.driver.AppleFirmwareKit (1) 121C44D0-85FB-33C4-A3DB-B6CA83D09DDE <93 63 62 41 40 28 26 9 8 7 6 5 3>
  132    2 0xfffffe00073a4330 0x221d     0x221d     com.apple.driver.AppleDCP (1) 08626C6B-2B45-3B04-83D2-23D02A8EDBAD <131 62 28 6 5>
